Title,Year of Release,RT Scores,Adjusted score,Critics consensus,Synopsis,Cast,Director
Battle Royale,2000,87,87.976,"Battle Royale is a controversial and violent parable of adolescence, heightening teenage melodrama with life-or-death stakes.","A long-unavailable underground hit that anticipated The Hunger Games novels by eight years, veteran director Fukasaku's epically violent, still-controversial and... [More]","Aki Maeda, Ai Iwamura, Chiaki Kuriyama, Tatsuya Fujiw",Kinji Fukasaku
Spider-Man 2,2004,93,100.886,"Boasting an entertaining villain and deeper emotional focus, this is a nimble sequel that improves upon the original.",tan Lee's all-too-human superhero returns to the screen in this highly anticipated sequel to 2002's blockbuster hit Spider-Man. Peter Parker... [More],"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Mol",Sam Raim
13 Assassins,2011,95,98.508,"Takashi Miike's electric remake of Eiichi Kudo's 1963 period action film is a wild spectacle executed with killer, dizzying panache.","Cult director Takeshi Miike (Ichi the Killer, Audition) delivers a bravado period action film set at the end of Japan's... [More]","Koji Yakusho, Takayuki Yamada, Yusuke Iseya, Goro Inagak",Takashi Miik
Full Contact,1992,88,61.153,No consensus yet.,"Another entry into the ""cheer for the most likeable bad guy"" series of Hong Kong action flicks, Full Contact tells... [More]","Yun-Fat Chow, Simon Yam, Ann Bridgewater, Anthony Wo",Ringo Lam
Indiana Jones and the Last Crusade,1989,88,93.251,"Lighter and more comedic than its predecessor, Indiana Jones and the Last Crusade returns the series to the brisk serial adventure of Raiders, while adding a dynamite double act between Harrison Ford and Sean Connery.","The third installment in the Spielberg/Lucas Indiana Jones saga, Indiana Jones and the Last Crusade evokes many of the thrills... [More]","Harrison Ford, Sean Connery, Alison Doody, Denholm Ellio",Steven Spielberg
Kung Fu Hustle,2005,90,96.172,"Kung Fu Hustle blends special effects, martial arts, and the Looney Toons to hilarious effect.","The work of international superstar Stephen Chow, Kung Fu Hustle is a humorous, special-effects-filled, action-packed martial arts epic set in... [More]","ephen Chow, Wah Yuen, Shengyi Huang, Kwok-Kwan Ch",Stephen Chow
A Better Tomorrow,2010,93,44.145,No consensus yet.,"John Woo established himself as one of Hong Kong's premiere action directors with this ultra-hip, ultra-violent action classic. The film... [More]","Yun-Fat Chow, Leslie Cheung, Lung Ti, Young Pao I",Hae-sung Song
Iron Man,2008,94,104.696,"Powered by Robert Downey Jr.'s vibrant charm, Iron Man turbo-charges the superhero genre with a deft intelligence and infectious sense of fun.","Billionaire industrialist and genius inventor Tony Stark is kidnapped and forced to build a devastating weapon. Instead, using his intelligence... [More]","Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow",
The Night Comes For Us,2018,90,90.414,"A bloody thrill ride designed to test the limits of more squeamish viewers, The Night Comes for Us wields a stylishly violent, action-packed punch.","The Night Comes For Us follows Ito (played by Joe Taslim), a former triad enforcer, and his mission to protect... [More]","Joe Taslim, Iko Uwais, Julie Estelle, Sunny P",Timo Tjahjanto
Logan,2017,93,110.693,"Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions.","It's 2029. Mutants are gone--or very nearly so. An isolated, despondent Logan is drinking his days away in a hideout... [More]","Hugh Jackman, Patrick Stewart, Boyd Holbrook, Stephen Merch",James Mangol
Goldfinger,1964,98,104.211,"Goldfinger is where James Bond as we know him comes into focus - it features one of 007's most famous lines (""A martini. Shaken, not stirred"") and a wide range of gadgets that would become the series' trademark.","To many, the quintessential Bond film and a brilliant third entry in the series. Here Bond gets his Aston Martin,... [More]","ean Connery, Gert Fröbe, Honor Blackman, Shirley Eato",Guy Hamilton
Assault on Precinct 13,1976,98,102.294,"Lean, taut and compellingly gritty, John Carpenter's loose update of Rio Bravo ranks as a cult action classic and one of the filmmaker's best.","Cops, secretaries, and prisoners stuck in a soon-to-be-shuttered L.A. police station fight off a horde of murderous gang members in... [More]","Austin Stoker, Darwin Joston, Gilbert De la Pena, Laurie Zimme",John Carpen
Wonder Woman,2017,93,112.535,"Thrilling, earnest, and buoyed by Gal Gadot's charismatic performance, Wonder Woman succeeds in spectacular fashion.",An Amazon princess (Gal Gadot) finds her idyllic life on an island occupied only by female warriors interrupted when a... [More],"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wrigh",Patty Jenkins
Fist of Fury (Jing wu men),1972,92,92.813,No consensus yet.,Bruce Lee stars as a martial arts expert who vows vengeance when his kung fu master is murdered. He discovers... [More],"Bruce Lee, Miao Ker Hsiu, James Tien, Robert Bake",Lo W
Captain America: The Winter Soldier,2014,90,101.773,"Suspenseful and politically astute, Captain America: The Winter Soldier is a superior entry in the Avengers canon and is sure to thrill Marvel diehards.","After being deemed unfit for military service, Steve Rogers volunteers for a top secret research project that turns him into... [More]","Chris Evans, Samuel L. Jackson, Scarlett Johansson, Anthony Mackie","Joe Russo, Anthony Russo"
Oldboy,2005,82,86.608,"Violent and definitely not for the squeamish, Park Chan-Wook's visceral Oldboy is a strange, powerful tale of revenge.",uth Korean filmmaker Park Chan-wook directed this violent and offbeat story of punishment and vengeance. Oh Dae-su (Choi Min-sik) is... [More],"Choi Min-sik, Gang Hye-jeong, Yoo Ji-tae, Gang Hye-ju",Park Chan-wook
The French Connection,1971,98,104.287,"Realistic, fast-paced and uncommonly smart, The French Connection is bolstered by stellar performances by Gene Hackman and Roy Scheider, not to mention William Friedkin's thrilling production.","This gritty, fast-paced, and innovative police drama earned five Academy Awards, including Best Picture, Best Adapted Screenplay (written by Ernest... [More]","Gene Hackman, Fernando Rey, Roy Scheider, Marcel Bozzuff",William Friedkin
Furious 7,2015,81,91.235,"Serving up a fresh round of over-the-top thrills while adding unexpected dramatic heft, Furious 7 keeps the franchise moving in more ways than one.","Continuing the global exploits in the unstoppable franchise built on speed, Vin Diesel, Paul Walker and Dwayne Johnson lead the... [More]","Vin Diesel, Paul Walker, Jason Statham, Dwayne Johnso",James Wan
La Femme Nikita (Nikita),1990,88,90.528,A zany out-of-control thriller that gives lead Anne Parillaud a big character arc and plenty of emotional room to work within.,"The serpentine plotline of Luc Besson's La Femme Nikita begins its 117-minute slither when punkish, psychotic, and drug-ridden Nikita (Anne... [More]","Tcheky Karyo, Anne Parillaud, Jeanne Moreau, Jean Reno",Luc Besson
Supercop,1996,96,98.252,"Blending hand-to-hand combat with breathtaking stunts and slapstick comedy, Supercop reminds us why Jackie Chan is one of the world's great entertainers.",A Hong Kong detective fights to stop a Chinese drug czar.... [More],"Jackie Chan, Maggie Cheung, Kenneth Tsang Kong, Wah Yue",Stanley Tong
Dirty Harry,1971,89,93.654,"As tough and taciturn as its no-nonsense hero, Dirty Harry delivers a deceptively layered message without sacrificing an ounce of its solid action impact.","""You've got to ask yourself a question: 'do I feel lucky?' Well, do ya, punk?"" Dirty Harry provoked a critical... [More]","Clint Eastwood, Andrew Robinson, Harry Guardino, John Mitchum",on Siegel
Live Die Repeat: Edge of Tomorrow,2014,90,102.596,"Gripping, well-acted, funny, and clever, Edge of Tomorrow offers entertaining proof that Tom Cruise is still more than capable of shouldering the weight of a blockbuster action thriller.","The epic action of ""Edge of Tomorrow"" unfolds in a near future in which an alien race has hit the... [More]","Tom Cruise, Emily Blunt, Bill Paxton, Jonas Armstro",oug Liman
