Title,Year of Release,RT Scores,Adjusted score,Critics consensus,Synopsis,Cast,Director
Running Scared,1986,60,61.182,"Running Scared struggles to strike a consistent balance between violent action and humor, but the chemistry between its well-matched leads keeps things entertaining.","Distinguished by a sharp, witty dialogue between its two cop protagonists, Ray and Danny (Gregory Hines and Billy Crystal), this... [More]","Gregory Hines, Billy Crystal, Jimmy Smits, Steven Baue",Peter Hyams
Equilibrium,2002,40,41.993,Equilibrium is a reheated mishmash of other sci-fi movies.,"In the nation of Libria, there is always peace among men. The rules of the Librian system are simple. If... [More]","Christian Bale, Emily Watson, Taye Diggs, Angus Macfadye",Kurt Wimm
Hero,2004,95,100.762,"With death-defying action sequences and epic historic sweep, Hero offers everything a martial arts fan could ask for.",Hero is two-time Academy Award nominee Zhang Yimou's directorial attempt at exploring the concept of a Chinese hero. During the... [More],"Jet Li, Tony Leung Chiu Wai, Maggie Cheung, Daoming Che",Zhang Yimou
Road House,1989,39,41.986,Whether Road House is simply bad or so bad it's good depends largely on the audience's fondness for Swayze -- and tolerance for violently cheesy action.,Dalton (Swayze) is a true gentleman with a degree in philosophy from NYU. He also has a flip side -... [More],"Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazz",Rowdy Herrington
Unstoppable,2010,86,91.476,"As fast, loud, and relentless as the train at the center of the story, Unstoppable is perfect popcorn entertainment -- and director Tony Scott's best movie in years.","In this action thriller from director Tony Scott, rookie train operator Will (Chris Pine) and grizzled veteran engineer Frank (Denzel... [More]","Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee",Tony Sco
Shaft,1971,88,92.026,"This is the man that would risk his neck for his brother, man. Can you dig it?","haft, a highly successful film, spawned an industry of sequels and imitations. The daughter (Sherri Brewer) of Bumpy Jones (Moses... [More]","Richard Roundtree, Moses Gunn, Gwen Mitchell, Christopher St. Joh",Gordon Parks
The Villainess (Ak-Nyeo),2017,84,86.914,The Villainess offers enough pure kinetic thrills to satisfy genre enthusiasts -- and carve out a bloody niche for itself in modern Korean action cinema.,"ce she was a little girl, Sook-hee was raised to be a deadly assassin. She gladly accepts the chance to... [More]","Ok-bin Kim, Kim Seo-hyung, Shin Ha-kyun, Bang Sung-ju",Jung Byung-gil
Highlander,1986,69,71.928,"People hate Highlander because it's cheesy, bombastic, and absurd. And people love it for the same reasons.","Among humans for centuries, an immortal specie existed. Connor MacLeod is a member of this specie. Unaware of his powers,... [More]","Christopher Lambert, Sean Connery, Roxanne Hart, Clancy Brow",Russell Mulcah
Die Hard 2,1990,68,72.292,"It lacks the fresh thrills of its predecessor, but Die Hard 2 still works as an over-the-top -- and reasonably taut -- big-budget sequel, with plenty of set pieces to paper over the plot deficiencies.","""Another basement, another elevator...how can the same thing happen to the same guy twice?"" asks John McClane (Bruce Willis), in... [More]","Bruce Willis, Bonnie Bedelia, William Atherton, Reginald VelJohnso",Renny Harlin
National Treasure,2004,46,50.848,"National Treasure is no treasure, but it's a fun ride for those who can forgive its highly improbable plot.","Benjamin Franklin Gates is a third generation treasure hunter. All his life, Gates has been searching for a treasure no... [More]","Nicolas Cage, Diane Kruger, Justin Bartha, Sean Be",Jon Turteltaub
The Protector (Tom yum goong) (Warrior King),2005,53,55.433,"Despite some impressive fight scenes, this trimmed-down version of the Thai action pic is an off-putting mix of scant plot, choppy editing, and confusing subtitles and dubbing.","Kham's life is turned upside down when an international mafia syndicate, based in Australia, captures his two beloved elephants and... [More]","Tony Jaa, Petchtai Wongkamlao, Bongkoj Khongmalai, Bongkoo Kongmal",Prachya Pinkaew
Revenge,2018,92,97.08,"Revenge slices and dices genre tropes, working within an exploitation framework while adding a timely -- yet never less than viscerally thrilling -- feminist spin.","Jen (fearlessly embodied by Matilda Lutz, Rings) is enjoying a romantic getaway with her wealthy boyfriend which is suddenly disrupted... [More]","Matilda Anna Ingrid Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède",Coralie Fargea
El Mariachi,1993,93,94.587,"Made on a shoestring budget, El Mariachi's story is not new. However, the movie has so much energy that it's thoroughly enjoyable.","Filmed in two weeks on a budget of 7,000 dollars, El Mariachi was one of the singular pleasures of the... [More]","Carlos Gallardo, Consuelo Gómez, Reinol Martinez, Peter Marquard",Robert Rodriguez
A Touch of Zen,1969,96,98.514,"A brilliantly directed feast for the eyes with an epic story to match, A Touch of Zen marks a groundbreaking achievement in the wuxia genre.","According to this drama, set in 14th-century China, a state-run secret police organization made life a living hell for anyone... [More]","Feng Hsu, Chun Shih, Pai Ying, Tien Pe",King Hu
Top Gun,1986,54,59.11,"Though it features some of the most memorable and electrifying aereial footage shot with an expert eye for action, Top Gun offers too little for non-adolescent viewers to chew on when its characters aren't in the air.",Devil-may-care navy pilot Pete Mitchell (Tom Cruise) is sent to Miramar Naval Air Station for advanced training. Here he vies... [More],"Tom Cruise, Kelly McGillis, Anthony Edwards, Val Kilme",Tony Sco
Con Air,1997,55,58.684,"Air won't win any awards for believability - and all involved seem cheerfully aware of it, making some of this blockbuster action outing's biggest flaws fairly easy to forgive.",Former war hero Cameron Poe (Nicolas Cage) is sentenced to eight years in prison when he accidentally kills a man... [More],"Nicolas Cage, John Cusack, John Malkovich, Steve Buscem",Simon Wes
The Expendables 2,2012,68,72.299,"Taut, violent, and suitably self-deprecating, The Expendables 2 gives classic action fans everything they can reasonably expect from a star-studded shoot-'em-up -- for better and for worse.","The Expendables are back and this time it's personal... Barney Ross (Sylvester Stallone), Lee Christmas (Jason Statham), Yin Yang (Jet... [More]","ylvester Stallone, Jason Statham, Jet Li, Dolph Lundgre",Simon Wes
The Mummy,1999,60,63.98,"It's difficult to make a persuasive argument for The Mummy as any kind of meaningful cinematic achievement, but it's undeniably fun to watch.","Loosely adapted from the classic 1932 horror film starring Boris Karloff, The Mummy is set in Egypt, where over 3,000... [More]","Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo",Stephen Sommers
Mr. & Mrs. Smith,2005,60,67.125,"Although this action-romance suffers from weak writing and one too many explosions, the chemistry generated by onscreen couple Pitt and Jolie is palpable enough to make this a thoroughly enjoyable summer action flick.","John and Jane Smith are an ordinary suburban couple with an ordinary, lifeless suburban marriage. But each of them has... [More]","Brad Pitt, Angelina Jolie, Vince Vaughn, Adam Brody",oug Liman
Rush Hour,1998,60,63.715,A kick-ass addition to the cop-buddy film genre.,Brett Ratner directed this action-comedy that found box-office success by teaming Chris Tucker with Jackie Chan -- performing his own... [More],"Jackie Chan, Chris Tucker, Elizabeth Peña, Tom Wilkinso",Ratn
The Equalizer,2014,59,66.573,"The Equalizer is more stylishly violent than meaningful, but with Antoine Fuqua behind the cameras and Denzel Washington dispensing justice, it delivers.","In The Equalizer, Denzel Washington plays McCall, a man who believes he has put his mysterious past behind him and... [More]","Denzel Washington, Marton Csokas, Chloë Grace Moretz , David Harbou",Antoine Fuqua
Captain America: Civil War,2016,91,107.384,aptain America: Civil War begins the next wave of Marvel movies with an action-packed superhero blockbuster boasting a decidedly non-cartoonish plot and the courage to explore thought-provoking themes.,"Marvel's ""Captain America: Civil War"" finds Steve Rogers leading the newly formed team of Avengers in their continued efforts to... [More]","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebas","Anthony Russo, Joe Russo"
Air Force One,1997,76,78.964,"This late-period Harrison Ford actioner is full of palpable, if not entirely seamless, thrills.","In this action drama, Harrison Ford plays James Marshall, a onetime combat hero in the Vietnam War who is now... [More]","Gary Oldman, Harrison Ford, Glenn Close, Wendy Crewso",Wolfgang Petersen
Bloodsport,1988,40,41.233,"This is where it all began for the Muscles from Brussels, but beyond Van Damme's athleticism, Bloodsport is a cliched, virtually plotless exercise in action movie recycling.","U.S. soldier Frank Dux (Jean-Claude Van Damme) has come to Hong Kong to be accepted into the Kumite, a highly... [More]","Jean-Claude Van Damme, Leah Ayres, Donald Gibb, Norman Burto","Newt Arnold, Newton Arnol"
Blade,1998,55,60.589,"Though some may find the plot a bit lacking, Blade's action is fierce, plentiful, and appropriately stylish for a comic book adaptation.",British director Stephen Norrington helmed this David S. Goyer adaptation of the Marvel Comics character created in 1973 by scripter... [More],"Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wrigh",Stephen Norrington
Bad Boys,1995,43,46.859,"Bad Boys stars Will Smith and Martin Lawrence have enjoyable chemistry; unfortunately, director Michael Bay too often drowns it out with set pieces and explosions in place of an actual story.","Former video director Michael Bay had his first big hit with this action comedy, which also returned producers Jerry Bruckheimer... [More]","Martin Lawrence, Will Smith, Téa Leoni, Tcheky Karyo",Michael Ba
Die Hard: With a Vengeance,1995,52,55.781,"Die Hard with a Vengeance benefits from Bruce Willis and Samuel L. Jackson's barbed interplay, but clatters to a bombastic finish in a vain effort to cover for an overall lack of fresh ideas.",Bruce Willis returns as misfit cop John McClane in the third film in the Die Hard series. McClane has fallen... [More],"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene (II)",John McTiernan
The Running Man,1987,63,65.91,The Running Man is winking sci-fi satire with ridiculous clothes and workmanlike direction.,An unjustly accused prisoner in 2019 is given a slim chance at freedom if he enters a battle-to-the-death on a... [More],"Arnold Schwarzenegger, Maria Conchita Alonso, Yaphet Kotto, Richard Dawso",Paul Michael Glas
Code of Silence,1985,63,63.694,No consensus yet.,"Not to be confused with the 1960 film of the same name, this fast-paced karate action flick stars Chuck Norris,... [More]","Chuck Norris, Henry Silva, Bert Remsen, Mike Genovese",Andrew Davis
Shoot 'Em Up,2007,67,72.114,"As preposterous and over-the-top as Shoot 'Em Up may be, its humor and non-stop action make for a very enjoyable film.",A mysterious man delivers a baby during a shootout and is entrusted with protecting the child from criminals out to... [More],"Clive Owen, Paul Giamatti, Monica Bellucci, Stephen McHattie",Michael Davis
Crank,2006,61,63.636,"ank's assaultive style and gleeful depravity may turn off casual action fans, but audiences seeking a strong dose of adrenaline will be thrilled by Jason Statham's raucous race against mortality.",A one-time freelance hitman who was just attempting to turn his life around is forced to keep his heart pumping... [More],"Jason Statham, Amy Smart, Efren Ramirez, Jose Pablo Cantillo","Mark Neveldine, Brian Taylo"
Machete,2010,72,77.442,"Machete is messy, violent, shallow, and tasteless -- and that's precisely the point of one of the summer's most cartoonishly enjoyable films.",A blade-wielding ex-federale hides out as a day laborer when he is double-crossed by a corrupt senator. ... [More],"Danny Trejo, Robert De Niro, Jessica Alba, Cheech M","Ethan Maniquis, Robert Rodriguez"
Drive,2011,92,100.121,"With its hyper-stylized blend of violence, music, and striking imagery, Drive represents a fully realized vision of arthouse action.","Ryan Gosling stars as a Los Angeles wheelman for hire, stunt driving for movie productions by day and steering getaway... [More]","Ryan Gosling, Carey Mulligan, Albert Brooks, Bryan Cransto",Nicolas Winding Refn
Batman,1989,72,77.704,"An eerie, haunting spectacle, Batman succeeds as dark entertainment, even if Jack Nicholson's Joker too often overshadows the title character.","Jack Nicholson is the Joker, who emerged from a horrible accident as a maniacal criminal. Michael Keaton is the Caped... [More]","Michael Keaton, Jack Nicholson, Kim Basinger, Robert Wuhl",Tim Burton
Under Siege,1992,79,80.432,"A well-directed action thriller that makes the most of its confined setting, Under Siege marks a high point for early '90s action -- and its star's spotty filmography.","Andrew Davis directed this exciting thriller starring Steven Seagal, sans ponytail, and featuring electric, over-the-top performances by Gary Busey and... [More]","even Seagal, Tommy Lee Jones, Gary Busey, Erika Eleniak",Andrew Davis
Independence Day,1996,65,68.811,"The plot is thin and so is character development, but as a thrilling, spectacle-filled summer movie, Independence Day delivers.",A group of intrepid humans attempts to save the Earth from vicious extraterrestrials in this extremely popular science-fiction adventure. Borrowing... [More],"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell",Roland Emmerich
Bullitt,1968,97,100.523,Steve McQueen is cool as ice in this thrilling police procedural that also happens to contain arguably the greatest movie car chase ever.,Robert L. Pike's crime novel Mute Witness makes the transition to the big screen in this film from director Peter... [More],"eve McQueen, Robert Vaughn, Jacqueline Bisset, Don Gordo",Peter Yates
Wanted,2008,71,78.624,"Wanted is stylish, energetic popcorn fare with witty performances from Angelina Jolie (playing an expert assassin), James McAvoy, and Morgan Freeman that help to distract from its absurdly over-the-top plot.","Wesley's (James McAvoy) life is over - his pathetic old one, anyway... Fortunately, it is all because of a girl.... [More]","James McAvoy, Morgan Freeman, Angelina Jolie, Terence Stamp",Timur Bekmambetov
Superman,1978,94,101.292,"Superman deftly blends humor and gravitas, taking advantage of the perfectly cast Christopher Reeve to craft a loving, nostalgic tribute to an American pop culture icon.","Christopher Reeve as the Man of Steel in a big-budget epic with Oscar-winning effects. Marlon Brando, Margot Kidder, Gene Hackman,... [More]","Marlon Brando, Christopher Reeve, Gene Hackman, Ned Beatty",Richard Donn
Ronin,1998,68,71.199,"Ronin earns comparisons to The French Connection with strong action, dynamic road chase scenes, and solid performances.","When an international team of former intelligence agents and Cold War warriors meet in a warehouse, their adventure of love,... [More]","Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgard",John Frankenheim
They Live,1988,86,90.627,"A politically subversive blend of horror and sci fi, They Live is an underrated genre film from John Carpenter.",A homeless drifter discovers a reason for the ever-widening gap between the rich and the poor: a conspiracy by non-human... [More],"Roddy Piper, Keith David, Meg Foster, Peter Jaso",John Carpen
Cliffhanger,1993,68,71.896,"While it can't escape comparisons to the movies it borrows from, Cliffhanger is a tense, action-packed thriller and a showcase for the talents that made Sylvester Stallone a star.",Producer Neal H. Moritz and writer Joe Gazzam team with Studio Canal for this remake of the 1993 mountain-climbing adventure... [More],,
Marvel's The Avengers,2012,92,105.429,"Thanks to a script that emphasizes its heroes' humanity and a wealth of superpowered set pieces, The Avengers lives up to its hype and raises the bar for Marvel at the movies.","Marvel Studios presents Marvel's The Avengers-the Super Hero team up of a lifetime, featuring iconic Marvel Super Heroes Iron Man,... [More]",,
Hot Fuzz,2007,91,97.71,The brilliant minds behind Shaun of the Dead successfully take a shot at the buddy cop genre with Hot Fuzz. The result is a bitingly satiric and hugely entertaining parody.,A top London cop who is so good at his job that he makes his fellow officers look like slackers... [More],"mon Pegg, Nick Frost, Jim Broadbent, Steve Coo",Edgar Wrigh
The Warriors,1979,89,91.956,"As violent as it is stylish, The Warriors is a thrilling piece of pulp filmmaking.","Walter Hill's hip, super-stylized action film unfurls in a dystopian near-future, when various gangs control New York City. Each gang... [More]","Michael Beck, James Remar, Thomas G. Waites, Dorsey Wrigh",Walter Hill
Starship Troopers,1997,63,66.54,A fun movie...if you can accept the excessive gore and wooden acting.,"Paul Verhoeven has fashioned a visually spectacular, morbidly funny comic book adventure that seems to merge the fresh-faced youths of... [More]","Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey",Paul Verhoeven
Elite Squad: The Enemy Within,2011,93,93.573,"Elite Squad: The Enemy Within is a bleak, violent descent into the Brazilian underbelly, ripping into the favelas with unstoppable and kinetic force.","The sprawling slum that towers over Rio de Janeiro is one of the most dangerous places on Earth, and as... [More]","Wagner Moura, André Mattos, Sandro Rocha, Maria Ribeiro",José Padilha
Point Break,1991,69,73.212,"Absurd, over-the-top, and often wildly entertaining, Point Break is here to show you that the human spirit is still alive.",Kathryn Bigelow's fourth action film follows FBI agent Johnny Utah (Keanu Reeves) as he goes undercover to infiltrate a cache... [More],"Keanu Reeves, Patrick Swayze, Gary Busey, Lori Petty",Kathryn Bigelow
The Long Kiss Goodnight,1996,69,71.659,"Smart, sharp-witted, and fueled by enjoyably over-the-top action, The Long Kiss Goodnight makes up in impact what it lacks in consistent aim.",The comfortably drab life of a working mom becomes a nightmare when she finds herself pursued by an assassin who... [More],"Geena Davis, Samuel L. Jackson, Patrick Malahide, Craig Bierko",Renny Harlin
